Day,Month,Year,Date,Quarter,Sector,Female Employment,Male Employment,Total
30,September,2001,30-Sep-01,3,"Mining, energy and water supply","87,803","324,330","412,133"
30,September,2001,30-Sep-01,3,Manufacturing,"985,465","2,938,849","3,924,314"
30,September,2001,30-Sep-01,3,Construction,"263,114","1,879,162","2,142,277"
30,September,2001,30-Sep-01,3,"Wholesale, retail & repair of motor vehicles","2,032,698","2,042,495","4,075,201"
30,September,2001,30-Sep-01,3,Transport & storage,"304,178","1,234,048","1,538,226"
30,September,2001,30-Sep-01,3,Accommod-ation & food services,"742,121","548,598","1,290,724"
30,September,2001,30-Sep-01,3,Information & communication,"350,368","738,434","1,088,802"
30,September,2001,30-Sep-01,3,Financial & insurance activities,"640,998","608,443","1,249,576"
30,September,2001,30-Sep-01,3,Real estate activities,"103,301","109,162","212,331"
30,September,2001,30-Sep-01,3,"Professional, scientific & technical activities","723,231","919,449","1,642,683"
30,September,2001,30-Sep-01,3,Administrative & support services,"604,309","742,566","1,346,877"
30,September,2001,30-Sep-01,3,Public admin & defence; social security,"866,139","915,410","1,781,548"
30,September,2001,30-Sep-01,3,Education,"1,634,948","640,878","2,275,827"
30,September,2001,30-Sep-01,3,Human health & social work activities,"2,487,129","600,836","3,087,966"
30,September,2001,30-Sep-01,3,Other services,"767,558","613,498","1,381,058"
31,December,2001,31-Dec-01,4,Public Sector,"4,067,822","2,282,066","6,349,888"
31,December,2001,31-Dec-01,4,Private sector,"8,647,424","12,744,448","21,391,872"
31,December,2001,31-Dec-01,4,"Agriculture, forestry & fishing","83,857","204,561","288,419"
31,December,2001,31-Dec-01,4,"Mining, energy and water supply","86,232","321,663","407,896"
31,December,2001,31-Dec-01,4,Manufacturing,"971,366","2,942,621","3,913,990"
31,December,2001,31-Dec-01,4,Construction,"258,646","1,891,396","2,150,043"
31,December,2001,31-Dec-01,4,"Wholesale, retail & repair of motor vehicles","2,049,972","2,034,463","4,084,453"
31,December,2001,31-Dec-01,4,Transport & storage,"317,553","1,229,256","1,546,810"
31,December,2001,31-Dec-01,4,Accommod-ation & food services,"738,737","542,946","1,281,694"
31,December,2001,31-Dec-01,4,Information & communication,"344,628","723,690","1,068,322"
31,December,2001,31-Dec-01,4,Financial & insurance activities,"638,489","608,687","1,247,405"
31,December,2001,31-Dec-01,4,Real estate activities,"100,565","114,112","214,456"
31,December,2001,31-Dec-01,4,"Professional, scientific & technical activities","747,794","933,352","1,681,152"
31,December,2001,31-Dec-01,4,Administrative & support services,"599,905","725,348","1,325,257"
31,December,2001,31-Dec-01,4,Public admin & defence; social security,"893,284","908,883","1,802,166"
31,December,2001,31-Dec-01,4,Education,"1,690,930","654,250","2,345,182"
31,December,2001,31-Dec-01,4,Human health & social work activities,"2,482,708","600,567","3,083,278"
31,December,2001,31-Dec-01,4,Other services,"734,279","603,098","1,337,383"
31,March,2002,31-Mar-02,1,Public Sector,"4,095,169","2,288,264","6,383,433"
31,March,2002,31-Mar-02,1,Private sector,"8,598,913","12,588,938","21,187,851"
31,March,2002,31-Mar-02,1,"Agriculture, forestry & fishing","74,085","209,600","283,685"
31,March,2002,31-Mar-02,1,"Mining, energy and water supply","82,057","317,512","399,570"
31,March,2002,31-Mar-02,1,Manufacturing,"943,086","2,882,440","3,825,530"
31,March,2002,31-Mar-02,1,Construction,"264,862","1,846,659","2,111,522"
31,March,2002,31-Mar-02,1,"Wholesale, retail & repair of motor vehicles","2,033,675","2,000,444","4,034,146"
31,March,2002,31-Mar-02,1,Transport & storage,"310,514","1,236,341","1,546,856"
31,March,2002,31-Mar-02,1,Accommod-ation & food services,"752,934","534,813","1,287,764"
31,March,2002,31-Mar-02,1,Information & communication,"325,894","685,283","1,011,182"
31,March,2002,31-Mar-02,1,Financial & insurance activities,"633,289","609,576","1,243,018"
31,March,2002,31-Mar-02,1,Real estate activities,"109,052","117,083","225,995"
31,March,2002,31-Mar-02,1,"Professional, scientific & technical activities","749,392","962,776","1,712,177"
31,March,2002,31-Mar-02,1,Administrative & support services,"587,725","726,062","1,313,794"
31,March,2002,31-Mar-02,1,Public admin & defence; social security,"903,765","899,787","1,803,554"
31,March,2002,31-Mar-02,1,Education,"1,731,686","683,104","2,414,790"
31,March,2002,31-Mar-02,1,Human health & social work activities,"2,480,163","596,486","3,076,653"
31,March,2002,31-Mar-02,1,Other services,"736,104","581,209","1,317,319"
30,June,2002,30-Jun-02,2,Public Sector,"4,141,579","2,318,191","6,459,770"
30,June,2002,30-Jun-02,2,Private sector,"8,639,728","12,668,835","21,308,563"
30,June,2002,30-Jun-02,2,"Agriculture, forestry & fishing","76,609","202,647","279,256"
30,June,2002,30-Jun-02,2,"Mining, energy and water supply","91,288","327,401","418,689"
30,June,2002,30-Jun-02,2,Manufacturing,"927,863","2,856,225","3,784,092"
30,June,2002,30-Jun-02,2,Construction,"266,404","1,835,115","2,101,521"
30,June,2002,30-Jun-02,2,"Wholesale, retail & repair of motor vehicles","2,038,018","2,029,098","4,067,149"
30,June,2002,30-Jun-02,2,Transport & storage,"317,783","1,238,359","1,556,147"
30,June,2002,30-Jun-02,2,Accommod-ation & food services,"777,537","577,526","1,355,089"
30,June,2002,30-Jun-02,2,Information & communication,"319,967","670,182","990,155"
30,June,2002,30-Jun-02,2,Financial & insurance activities,"643,095","623,664","1,266,896"
30,June,2002,30-Jun-02,2,Real estate activities,"104,892","112,452","217,223"
30,June,2002,30-Jun-02,2,"Professional, scientific & technical activities","737,054","961,696","1,698,763"
30,June,2002,30-Jun-02,2,Administrative & support services,"586,005","739,015","1,325,028"
30,June,2002,30-Jun-02,2,Public admin & defence; social security,"893,713","916,231","1,809,946"
30,June,2002,30-Jun-02,2,Education,"1,762,372","704,604","2,466,973"
30,June,2002,30-Jun-02,2,Human health & social work activities,"2,502,208","601,502","3,103,710"
30,June,2002,30-Jun-02,2,Other services,"757,735","600,038","1,357,779"
30,September,2002,30-Sep-02,3,Public Sector,"4,151,797","2,318,554","6,470,351"
30,September,2002,30-Sep-02,3,Private sector,"8,681,602","12,788,102","21,469,704"
30,September,2002,30-Sep-02,3,"Agriculture, forestry & fishing","72,177","202,279","274,457"
30,September,2002,30-Sep-02,3,"Mining, energy and water supply","84,916","333,931","418,848"
30,September,2002,30-Sep-02,3,Manufacturing,"925,924","2,897,971","3,823,904"
30,September,2002,30-Sep-02,3,Construction,"270,818","1,889,672","2,160,496"
30,September,2002,30-Sep-02,3,"Wholesale, retail & repair of motor vehicles","2,093,914","2,040,486","4,134,445"
30,September,2002,30-Sep-02,3,Transport & storage,"312,536","1,246,128","1,558,671"
30,September,2002,30-Sep-02,3,Accommod-ation & food services,"771,441","570,815","1,342,290"
30,September,2002,30-Sep-02,3,Information & communication,"326,495","685,462","1,011,963"
30,September,2002,30-Sep-02,3,Financial & insurance activities,"643,653","626,152","1,269,904"
30,September,2002,30-Sep-02,3,Real estate activities,"106,406","110,444","216,772"
30,September,2002,30-Sep-02,3,"Professional, scientific & technical activities","742,561","957,143","1,699,720"
30,September,2002,30-Sep-02,3,Administrative & support services,"581,307","725,383","1,306,702"
30,September,2002,30-Sep-02,3,Public admin & defence; social security,"898,670","928,575","1,827,247"
30,September,2002,30-Sep-02,3,Education,"1,728,010","678,300","2,406,304"
30,September,2002,30-Sep-02,3,Human health & social work activities,"2,513,323","617,533","3,130,855"
30,September,2002,30-Sep-02,3,Other services,"786,250","618,410","1,404,672"
31,December,2002,31-Dec-02,4,Public Sector,"4,137,278","2,342,780","6,480,058"
31,December,2002,31-Dec-02,4,Private sector,"8,689,648","12,866,119","21,555,767"
31,December,2002,31-Dec-02,4,"Agriculture, forestry & fishing","63,811","191,963","255,774"
31,December,2002,31-Dec-02,4,"Mining, energy and water supply","84,724","324,419","409,145"
31,December,2002,31-Dec-02,4,Manufacturing,"922,086","2,893,590","3,815,686"
31,December,2002,31-Dec-02,4,Construction,"265,610","1,916,863","2,182,476"
31,December,2002,31-Dec-02,4,"Wholesale, retail & repair of motor vehicles","2,129,130","2,114,505","4,243,691"
31,December,2002,31-Dec-02,4,Transport & storage,"321,099","1,244,359","1,565,466"
31,December,2002,31-Dec-02,4,Accommod-ation & food services,"739,681","565,868","1,305,589"
31,December,2002,31-Dec-02,4,Information & communication,"328,079","690,104","1,018,189"
31,December,2002,31-Dec-02,4,Financial & insurance activities,"616,587","615,221","1,231,822"
31,December,2002,31-Dec-02,4,Real estate activities,"104,338","103,521","207,870"
31,December,2002,31-Dec-02,4,"Professional, scientific & technical activities","763,934","980,358","1,744,310"
31,December,2002,31-Dec-02,4,Administrative & support services,"566,723","710,368","1,277,102"
31,December,2002,31-Dec-02,4,Public admin & defence; social security,"896,370","942,481","1,838,854"
31,December,2002,31-Dec-02,4,Education,"1,770,741","704,095","2,474,827"
31,December,2002,31-Dec-02,4,Human health & social work activities,"2,521,665","619,020","3,140,684"
31,December,2002,31-Dec-02,4,Other services,"771,616","613,008","1,384,642"
31,March,2003,31-Mar-03,1,Public Sector,"4,178,848","2,381,312","6,560,160"
31,March,2003,31-Mar-03,1,Private sector,"8,640,659","12,658,338","21,298,997"
31,March,2003,31-Mar-03,1,"Agriculture, forestry & fishing","65,262","207,135","272,397"
31,March,2003,31-Mar-03,1,"Mining, energy and water supply","78,434","299,422","377,858"
31,March,2003,31-Mar-03,1,Manufacturing,"873,270","2,780,603","3,653,881"
31,March,2003,31-Mar-03,1,Construction,"261,317","1,901,455","2,162,776"
31,March,2003,31-Mar-03,1,"Wholesale, retail & repair of motor vehicles","2,132,659","2,083,328","4,216,057"
31,March,2003,31-Mar-03,1,Transport & storage,"307,600","1,239,072","1,546,679"
31,March,2003,31-Mar-03,1,Accommod-ation & food services,"748,196","561,129","1,309,367"
31,March,2003,31-Mar-03,1,Information & communication,"311,140","693,019","1,004,167"
31,March,2003,31-Mar-03,1,Financial & insurance activities,"631,480","620,816","1,252,315"
31,March,2003,31-Mar-03,1,Real estate activities,"103,576","101,238","204,825"
31,March,2003,31-Mar-03,1,"Professional, scientific & technical activities","739,002","952,924","1,691,948"
31,March,2003,31-Mar-03,1,Administrative & support services,"587,660","677,090","1,264,760"
31,March,2003,31-Mar-03,1,Public admin & defence; social security,"895,281","965,069","1,860,353"
31,March,2003,31-Mar-03,1,Education,"1,817,327","720,335","2,537,652"
31,March,2003,31-Mar-03,1,Human health & social work activities,"2,530,933","641,144","3,172,079"
31,March,2003,31-Mar-03,1,Other services,"774,687","628,957","1,403,659"
30,June,2003,30-Jun-03,2,Public Sector,"4,173,497","2,375,995","6,549,492"
30,June,2003,30-Jun-03,2,Private sector,"8,641,881","12,789,255","21,431,136"
30,June,2003,30-Jun-03,2,"Agriculture, forestry & fishing","65,130","195,296","260,425"
30,June,2003,30-Jun-03,2,"Mining, energy and water supply","70,071","300,028","370,100"
30,June,2003,30-Jun-03,2,Manufacturing,"858,260","2,748,338","3,606,601"
30,June,2003,30-Jun-03,2,Construction,"276,407","1,942,273","2,218,689"
30,June,2003,30-Jun-03,2,"Wholesale, retail & repair of motor vehicles","2,098,922","2,118,574","4,217,562"
30,June,2003,30-Jun-03,2,Transport & storage,"307,672","1,278,721","1,586,401"
30,June,2003,30-Jun-03,2,Accommod-ation & food services,"717,534","558,440","1,276,018"
30,June,2003,30-Jun-03,2,Information & communication,"319,882","690,170","1,010,065"
30,June,2003,30-Jun-03,2,Financial & insurance activities,"631,188","619,377","1,250,661"
30,June,2003,30-Jun-03,2,Real estate activities,"101,614","105,537","207,086"
30,June,2003,30-Jun-03,2,"Professional, scientific & technical activities","752,124","970,752","1,722,897"
30,June,2003,30-Jun-03,2,Administrative & support services,"548,113","681,725","1,229,848"
30,June,2003,30-Jun-03,2,Public admin & defence; social security,"896,539","969,692","1,866,233"
30,June,2003,30-Jun-03,2,Education,"1,851,859","732,374","2,584,225"
30,June,2003,30-Jun-03,2,Human health & social work activities,"2,572,994","645,107","3,218,101"
30,June,2003,30-Jun-03,2,Other services,"809,055","667,888","1,476,966"
30,September,2003,30-Sep-03,3,Public Sector,"4,190,220","2,378,956","6,569,176"
30,September,2003,30-Sep-03,3,Private sector,"8,717,738","12,937,022","21,654,760"
30,September,2003,30-Sep-03,3,"Agriculture, forestry & fishing","65,540","210,725","276,264"
30,September,2003,30-Sep-03,3,"Mining, energy and water supply","81,285","298,208","379,493"
30,September,2003,30-Sep-03,3,Manufacturing,"848,117","2,664,232","3,512,354"
30,September,2003,30-Sep-03,3,Construction,"293,134","2,006,430","2,299,576"
30,September,2003,30-Sep-03,3,"Wholesale, retail & repair of motor vehicles","2,127,682","2,160,460","4,288,223"
30,September,2003,30-Sep-03,3,Transport & storage,"290,037","1,252,899","1,542,948"
30,September,2003,30-Sep-03,3,Accommod-ation & food services,"752,646","586,504","1,339,200"
30,September,2003,30-Sep-03,3,Information & communication,"324,403","708,777","1,033,198"
30,September,2003,30-Sep-03,3,Financial & insurance activities,"642,266","628,788","1,271,074"
30,September,2003,30-Sep-03,3,Real estate activities,"109,568","106,338","215,921"
30,September,2003,30-Sep-03,3,"Professional, scientific & technical activities","739,062","977,596","1,716,683"
30,September,2003,30-Sep-03,3,Administrative & support services,"562,121","707,466","1,269,602"
30,September,2003,30-Sep-03,3,Public admin & defence; social security,"923,082","958,392","1,881,475"
30,September,2003,30-Sep-03,3,Education,"1,808,302","740,376","2,548,674"
30,September,2003,30-Sep-03,3,Human health & social work activities,"2,584,781","654,733","3,239,516"
30,September,2003,30-Sep-03,3,Other services,"798,150","689,188","1,487,359"
31,December,2003,31-Dec-03,4,Public Sector,"4,268,709","2,391,554","6,660,263"
31,December,2003,31-Dec-03,4,Private sector,"8,707,590","12,844,973","21,552,563"
31,December,2003,31-Dec-03,4,"Agriculture, forestry & fishing","67,923","203,019","270,941"
31,December,2003,31-Dec-03,4,"Mining, energy and water supply","77,894","280,957","358,852"
31,December,2003,31-Dec-03,4,Manufacturing,"814,098","2,617,621","3,431,723"
31,December,2003,31-Dec-03,4,Construction,"287,521","1,992,259","2,279,790"
31,December,2003,31-Dec-03,4,"Wholesale, retail & repair of motor vehicles","2,177,841","2,212,125","4,390,062"
31,December,2003,31-Dec-03,4,Transport & storage,"285,331","1,243,248","1,528,591"
31,December,2003,31-Dec-03,4,Accommod-ation & food services,"745,112","568,843","1,314,010"
31,December,2003,31-Dec-03,4,Information & communication,"313,086","713,409","1,026,514"
31,December,2003,31-Dec-03,4,Financial & insurance activities,"624,968","613,188","1,238,187"
31,December,2003,31-Dec-03,4,Real estate activities,"104,978","102,504","207,494"
31,December,2003,31-Dec-03,4,"Professional, scientific & technical activities","746,222","999,910","1,746,169"
31,December,2003,31-Dec-03,4,Administrative & support services,"554,394","686,855","1,241,264"
31,December,2003,31-Dec-03,4,Public admin & defence; social security,"931,626","956,658","1,888,286"
31,December,2003,31-Dec-03,4,Education,"1,851,494","747,251","2,598,738"
31,December,2003,31-Dec-03,4,Human health & social work activities,"2,628,982","653,332","3,282,318"
31,December,2003,31-Dec-03,4,Other services,"803,994","675,605","1,479,619"
31,March,2004,31-Mar-04,1,Public Sector,"4,346,874","2,436,598","6,783,472"
31,March,2004,31-Mar-04,1,Private sector,"8,658,858","12,793,342","21,452,200"
31,March,2004,31-Mar-04,1,"Agriculture, forestry & fishing","62,455","198,417","260,872"
31,March,2004,31-Mar-04,1,"Mining, energy and water supply","79,208","289,869","369,080"
31,March,2004,31-Mar-04,1,Manufacturing,"792,567","2,595,241","3,387,813"
31,March,2004,31-Mar-04,1,Construction,"286,808","2,011,142","2,297,957"
31,March,2004,31-Mar-04,1,"Wholesale, retail & repair of motor vehicles","2,125,189","2,117,643","4,242,942"
31,March,2004,31-Mar-04,1,Transport & storage,"270,866","1,248,949","1,519,826"
31,March,2004,31-Mar-04,1,Accommod-ation & food services,"754,518","574,470","1,329,057"
31,March,2004,31-Mar-04,1,Information & communication,"321,689","722,250","1,043,956"
31,March,2004,31-Mar-04,1,Financial & insurance activities,"611,875","604,563","1,216,481"
31,March,2004,31-Mar-04,1,Real estate activities,"114,542","113,510","228,056"
31,March,2004,31-Mar-04,1,"Professional, scientific & technical activities","761,965","992,836","1,754,836"
31,March,2004,31-Mar-04,1,Administrative & support services,"554,017","701,123","1,255,157"
31,March,2004,31-Mar-04,1,Public admin & defence; social security,"903,424","984,043","1,887,467"
31,March,2004,31-Mar-04,1,Education,"1,911,496","788,328","2,699,824"
31,March,2004,31-Mar-04,1,Human health & social work activities,"2,676,762","658,770","3,335,543"
31,March,2004,31-Mar-04,1,Other services,"811,069","650,659","1,461,748"
30,June,2004,30-Jun-04,2,Public Sector,"4,380,769","2,455,044","6,835,813"
30,June,2004,30-Jun-04,2,Private sector,"8,642,010","12,808,734","21,450,744"
30,June,2004,30-Jun-04,2,"Agriculture, forestry & fishing","63,165","200,708","263,872"
30,June,2004,30-Jun-04,2,"Mining, energy and water supply","83,100","293,587","376,690"
30,June,2004,30-Jun-04,2,Manufacturing,"787,138","2,534,013","3,321,164"
30,June,2004,30-Jun-04,2,Construction,"294,443","2,019,068","2,313,516"
30,June,2004,30-Jun-04,2,"Wholesale, retail & repair of motor vehicles","2,103,654","2,141,984","4,245,747"
30,June,2004,30-Jun-04,2,Transport & storage,"274,286","1,244,192","1,518,488"
30,June,2004,30-Jun-04,2,Accommod-ation & food services,"728,403","589,233","1,317,716"
30,June,2004,30-Jun-04,2,Information & communication,"317,357","728,079","1,045,458"
30,June,2004,30-Jun-04,2,Financial & insurance activities,"614,035","591,523","1,205,756"
30,June,2004,30-Jun-04,2,Real estate activities,"117,379","127,259","244,487"
30,June,2004,30-Jun-04,2,"Professional, scientific & technical activities","737,560","984,134","1,721,724"
30,June,2004,30-Jun-04,2,Administrative & support services,"562,051","705,089","1,267,154"
30,June,2004,30-Jun-04,2,Public admin & defence; social security,"915,044","979,251","1,894,290"
30,June,2004,30-Jun-04,2,Education,"1,952,456","769,570","2,722,030"
30,June,2004,30-Jun-04,2,Human health & social work activities,"2,694,325","706,310","3,400,656"
30,June,2004,30-Jun-04,2,Other services,"799,701","666,936","1,466,666"
30,September,2004,30-Sep-04,3,Public Sector,"4,405,607","2,466,120","6,871,727"
30,September,2004,30-Sep-04,3,Private sector,"8,666,603","12,968,994","21,635,597"
30,September,2004,30-Sep-04,3,"Agriculture, forestry & fishing","73,823","199,502","273,324"
30,September,2004,30-Sep-04,3,"Mining, energy and water supply","88,580","321,095","409,678"
30,September,2004,30-Sep-04,3,Manufacturing,"792,483","2,601,762","3,394,264"
30,September,2004,30-Sep-04,3,Construction,"297,898","2,074,377","2,372,283"
30,September,2004,30-Sep-04,3,"Wholesale, retail & repair of motor vehicles","2,101,089","2,150,526","4,251,743"
30,September,2004,30-Sep-04,3,Transport & storage,"280,870","1,243,909","1,524,790"
30,September,2004,30-Sep-04,3,Accommod-ation & food services,"739,110","593,716","1,332,919"
30,September,2004,30-Sep-04,3,Information & communication,"316,710","732,417","1,049,148"
30,September,2004,30-Sep-04,3,Financial & insurance activities,"614,685","586,185","1,201,120"
30,September,2004,30-Sep-04,3,Real estate activities,"110,901","123,572","234,273"
30,September,2004,30-Sep-04,3,"Professional, scientific & technical activities","740,439","954,037","1,694,511"
30,September,2004,30-Sep-04,3,Administrative & support services,"579,369","720,262","1,299,655"
30,September,2004,30-Sep-04,3,Public admin & defence; social security,"948,992","1,002,306","1,951,301"
30,September,2004,30-Sep-04,3,Education,"1,916,081","757,684","2,673,769"
30,September,2004,30-Sep-04,3,Human health & social work activities,"2,698,788","719,533","3,418,341"
30,September,2004,30-Sep-04,3,Other services,"790,556","666,274","1,456,862"
31,December,2004,31-Dec-04,4,Public Sector,"4,461,136","2,418,632","6,879,768"
31,December,2004,31-Dec-04,4,Private sector,"8,680,756","13,018,182","21,698,938"
31,December,2004,31-Dec-04,4,"Agriculture, forestry & fishing","74,784","196,357","271,139"
31,December,2004,31-Dec-04,4,"Mining, energy and water supply","85,205","315,876","401,085"
31,December,2004,31-Dec-04,4,Manufacturing,"785,827","2,589,131","3,374,984"
31,December,2004,31-Dec-04,4,Construction,"314,851","2,088,245","2,403,104"
31,December,2004,31-Dec-04,4,"Wholesale, retail & repair of motor vehicles","2,131,263","2,194,697","4,326,121"
31,December,2004,31-Dec-04,4,Transport & storage,"281,716","1,254,106","1,535,833"
31,December,2004,31-Dec-04,4,Accommod-ation & food services,"724,739","577,374","1,302,203"
31,December,2004,31-Dec-04,4,Information & communication,"313,868","713,680","1,027,574"
31,December,2004,31-Dec-04,4,Financial & insurance activities,"608,668","582,756","1,191,703"
31,December,2004,31-Dec-04,4,Real estate activities,"113,421","128,588","241,790"
31,December,2004,31-Dec-04,4,"Professional, scientific & technical activities","748,637","973,732","1,722,396"
31,December,2004,31-Dec-04,4,Administrative & support services,"591,838","731,284","1,323,154"
31,December,2004,31-Dec-04,4,Public admin & defence; social security,"948,862","974,604","1,923,476"
31,December,2004,31-Dec-04,4,Education,"1,967,695","749,974","2,717,674"
31,December,2004,31-Dec-04,4,Human health & social work activities,"2,681,317","739,040","3,420,376"
31,December,2004,31-Dec-04,4,Other services,"799,561","655,011","1,454,597"
31,March,2005,30-Mar-05,1,Public Sector,"4,470,421","2,486,193","6,956,614"
31,March,2005,30-Mar-05,1,Private sector,"8,707,473","12,891,549","21,599,022"
31,March,2005,30-Mar-05,1,"Agriculture, forestry & fishing","78,750","209,537","288,285"
31,March,2005,30-Mar-05,1,"Mining, energy and water supply","83,188","317,414","400,604"
31,March,2005,30-Mar-05,1,Manufacturing,"777,188","2,528,703","3,305,918"
31,March,2005,30-Mar-05,1,Construction,"317,483","2,079,602","2,397,102"
31,March,2005,30-Mar-05,1,"Wholesale, retail & repair of motor vehicles","2,128,764","2,124,052","4,252,968"
31,March,2005,30-Mar-05,1,Transport & storage,"294,075","1,240,756","1,534,842"
31,March,2005,30-Mar-05,1,Accommod-ation & food services,"712,765","588,723","1,301,573"
31,March,2005,30-Mar-05,1,Information & communication,"310,642","715,061","1,025,730"
31,March,2005,30-Mar-05,1,Financial & insurance activities,"610,223","608,483","1,218,869"
31,March,2005,30-Mar-05,1,Real estate activities,"107,787","116,738","224,431"
31,March,2005,30-Mar-05,1,"Professional, scientific & technical activities","748,317","986,344","1,734,694"
31,March,2005,30-Mar-05,1,Administrative & support services,"614,320","736,009","1,350,362"
31,March,2005,30-Mar-05,1,Public admin & defence; social security,"955,450","997,873","1,953,343"
31,March,2005,30-Mar-05,1,Education,"1,977,739","755,358","2,733,101"
31,March,2005,30-Mar-05,1,Human health & social work activities,"2,711,910","756,876","3,468,805"
31,March,2005,30-Mar-05,1,Other services,"775,135","638,060","1,413,240"
30,June,2005,30-Jun-05,2,Public Sector,"4,447,491","2,472,934","6,920,425"
30,June,2005,30-Jun-05,2,Private sector,"8,757,406","12,938,031","21,695,437"
30,June,2005,30-Jun-05,2,"Agriculture, forestry & fishing","83,443","200,185","283,626"
30,June,2005,30-Jun-05,2,"Mining, energy and water supply","78,407","319,791","398,200"
30,June,2005,30-Jun-05,2,Manufacturing,"788,006","2,547,802","3,335,838"
30,June,2005,30-Jun-05,2,Construction,"317,365","2,066,231","2,383,618"
30,June,2005,30-Jun-05,2,"Wholesale, retail & repair of motor vehicles","2,084,692","2,127,651","4,212,509"
30,June,2005,30-Jun-05,2,Transport & storage,"304,485","1,253,642","1,558,139"
30,June,2005,30-Jun-05,2,Accommod-ation & food services,"721,832","595,551","1,317,486"
30,June,2005,30-Jun-05,2,Information & communication,"299,752","713,601","1,013,375"
30,June,2005,30-Jun-05,2,Financial & insurance activities,"600,184","609,307","1,209,676"
30,June,2005,30-Jun-05,2,Real estate activities,"113,157","126,670","239,707"
30,June,2005,30-Jun-05,2,"Professional, scientific & technical activities","758,390","996,876","1,755,321"
30,June,2005,30-Jun-05,2,Administrative & support services,"595,281","742,268","1,337,584"
30,June,2005,30-Jun-05,2,Public admin & defence; social security,"961,959","976,215","1,938,203"
30,June,2005,30-Jun-05,2,Education,"2,001,541","766,450","2,767,996"
30,June,2005,30-Jun-05,2,Human health & social work activities,"2,723,348","755,158","3,478,535"
30,June,2005,30-Jun-05,2,Other services,"793,639","637,545","1,431,231"
30,September,2005,30-Sep-05,3,Public Sector,"4,484,366","2,537,081","7,021,447"
30,September,2005,30-Sep-05,3,Private sector,"8,854,118","13,045,760","21,899,878"
30,September,2005,30-Sep-05,3,"Agriculture, forestry & fishing","81,987","200,994","282,981"
30,September,2005,30-Sep-05,3,"Mining, energy and water supply","80,918","324,628","405,546"
30,September,2005,30-Sep-05,3,Manufacturing,"779,161","2,538,293","3,317,487"
30,September,2005,30-Sep-05,3,Construction,"321,397","2,136,113","2,457,534"
30,September,2005,30-Sep-05,3,"Wholesale, retail & repair of motor vehicles","2,102,141","2,137,110","4,239,425"
30,September,2005,30-Sep-05,3,Transport & storage,"297,626","1,278,706","1,576,353"
30,September,2005,30-Sep-05,3,Accommod-ation & food services,"716,891","563,541","1,280,530"
30,September,2005,30-Sep-05,3,Information & communication,"301,236","722,885","1,024,144"
30,September,2005,30-Sep-05,3,Financial & insurance activities,"651,581","635,416","1,287,167"
30,September,2005,30-Sep-05,3,Real estate activities,"121,523","126,695","248,140"
30,September,2005,30-Sep-05,3,"Professional, scientific & technical activities","789,471","993,387","1,782,922"
30,September,2005,30-Sep-05,3,Administrative & support services,"570,504","754,476","1,325,034"
30,September,2005,30-Sep-05,3,Public admin & defence; social security,"969,735","1,012,885","1,982,649"
30,September,2005,30-Sep-05,3,Education,"1,947,834","770,274","2,718,113"
30,September,2005,30-Sep-05,3,Human health & social work activities,"2,820,943","749,693","3,570,663"
30,September,2005,30-Sep-05,3,Other services,"800,133","649,483","1,449,670"
31,December,2005,31-Dec-05,4,Public Sector,"4,506,796","2,531,894","7,038,690"
31,December,2005,31-Dec-05,4,Private sector,"8,774,616","13,007,592","21,782,208"
31,December,2005,31-Dec-05,4,"Agriculture, forestry & fishing","74,348","213,690","288,036"
31,December,2005,31-Dec-05,4,"Mining, energy and water supply","76,460","338,195","414,658"
31,December,2005,31-Dec-05,4,Manufacturing,"764,117","2,495,617","3,259,772"
31,December,2005,31-Dec-05,4,Construction,"308,255","2,101,301","2,409,574"
31,December,2005,31-Dec-05,4,"Wholesale, retail & repair of motor vehicles","2,092,444","2,109,290","4,201,905"
31,December,2005,31-Dec-05,4,Transport & storage,"295,813","1,296,789","1,592,620"
31,December,2005,31-Dec-05,4,Accommod-ation & food services,"686,705","580,427","1,267,225"
31,December,2005,31-Dec-05,4,Information & communication,"303,839","718,146","1,022,015"
31,December,2005,31-Dec-05,4,Financial & insurance activities,"643,348","635,809","1,279,327"
31,December,2005,31-Dec-05,4,Real estate activities,"124,549","132,049","256,514"
31,December,2005,31-Dec-05,4,"Professional, scientific & technical activities","794,144","1,024,039","1,818,251"
31,December,2005,31-Dec-05,4,Administrative & support services,"563,002","736,422","1,299,468"
31,December,2005,31-Dec-05,4,Public admin & defence; social security,"969,265","997,680","1,966,961"
31,December,2005,31-Dec-05,4,Education,"1,970,726","784,670","2,755,395"
31,December,2005,31-Dec-05,4,Human health & social work activities,"2,818,555","740,314","3,558,903"
31,December,2005,31-Dec-05,4,Other services,"803,467","644,101","1,447,614"
31,March,2006,31-Mar-06,1,Public Sector,"4,566,120","2,563,475","7,129,595"
31,March,2006,31-Mar-06,1,Private sector,"8,823,002","12,911,572","21,734,574"
31,March,2006,31-Mar-06,1,"Agriculture, forestry & fishing","74,904","198,554","273,459"
31,March,2006,31-Mar-06,1,"Mining, energy and water supply","82,317","321,673","403,994"
31,March,2006,31-Mar-06,1,Manufacturing,"751,555","2,490,669","3,242,258"
31,March,2006,31-Mar-06,1,Construction,"325,664","2,105,020","2,430,710"
31,March,2006,31-Mar-06,1,"Wholesale, retail & repair of motor vehicles","2,085,741","2,077,292","4,163,201"
